player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
Serge Gnabry;GER;FW,MF;Bayern Munich;24;1995;$ 72.000.000,00;176;Forward - Right Winger;right;Bundesliga;31;26;2193;12;10;0;0;0,49;0,41;0,9;0,49;0,9;96;40;0;41,7;3,94;1,64;0,13;0,3;1128;78,3;13874;3223;28;2;0;26;17;1468;64;107;59,8;1;1;0;201920#
Leon Goretzka;GER;MF;Bayern Munich;24;1995;$ 40.000.000,00;189;Midfielder - Central Midfield;right;Bundesliga;24;17;1512;6;5;0;0;0,36;0,3;0,65;0,36;0,65;39;15;0;38,5;2,32;0,89;0,15;0,4;924;86,5;14795;2976;21;3;0;18;19;1092;20;29;69;1;1;0;201920#
Lucas Hern·ndez;FRA;DF;Bayern Munich;23;1996;$ 56.000.000,00;182;Defender - Left-Back;left;Bundesliga;19;10;920;0;1;0;0;0;0,1;0,1;0;0,1;3;1;0;33,3;0,29;0,1;0;0;819;88,3;14073;4462;20;2;0;18;10;925;10;11;90,9;1;1;0;201920#
Joshua Kimmich;GER;MF,DF;Bayern Munich;24;1995;$ 64.000.000,00;177;Midfielder - Defensive Midfield;right;Bundesliga;33;32;2818;4;7;0;0;0,13;0,22;0,35;0,13;0,35;28;13;2;46,4;0,89;0,42;0,14;0,31;2847;85,7;51126;15008;58;7;0;51;21;3149;27;43;62,8;1;1;0;201920#
Robert Lewandowski;POL;FW;Bayern Munich;30;1988;$ 56.000.000,00;185;Forward - Centre-Forward;right;Bundesliga;31;31;2759;34;4;5;5;1,11;0,13;1,24;0,95;1,08;134;59;2;44;4,37;1,92;0,22;0,49;783;75,6;9019;1801;16;3;0;13;4;1203;60;106;56,6;1;1;0;201920#
Javi MartÌnez;ESP;DF,MF;Bayern Munich;30;1988;$ 20.000,00;180;Forward - Centre-Forward;;Bundesliga;16;6;675;0;0;0;0;0;0;0;0;0;1;0;0;0;0,13;0;0;0;580;91,9;11509;3211;13;8;0;5;10;675;3;4;75;1;1;0;201920#
Thomas Muller;GER;MF,FW;Bayern Munich;29;1989;$ 25.000.000,00;185;Forward - Second Striker;right;Bundesliga;33;26;2255;8;21;0;0;0,32;0,84;1,16;0,32;1,16;53;20;0;37,7;2,12;0,8;0,15;0,4;1359;75,3;17967;4485;39;5;0;34;11;1650;23;45;51,1;1;1;0;201920#
?Ålvaro Odriozola;ESP;DF;Bayern Munich;23;1995;$ 16.000.000,00;176;Defender - Right-Back;right;Bundesliga;3;2;152;0;0;0;0;0;0;0;0;0;2;0;0;0;0,52;0;0;0;176;86,9;2599;863;5;0;0;5;3;127;3;6;50;1;1;0;201920#
Kwasi Okyere Wriedt;GHA;FW;Bayern Munich;25;1994;$ 80.000,00;188;Forward - Centre-Forward;left;Bundesliga;1;0;14;0;0;0;0;0;0;0;0;0;1;0;0;0;6,43;0;0;0;4;75;46;4;0;0;0;0;0;5;1;1;100;1;1;0;201920#
Benjamin Pavard;FRA;DF;Bayern Munich;23;1996;$ 28.000.000,00;186;Defender - Right-Back;right;Bundesliga;32;31;2790;4;4;0;0;0,13;0,13;0,26;0,13;0,26;21;7;0;33,3;0,68;0,23;0,19;0,57;2511;87,9;41285;14095;45;9;0;36;22;2803;17;32;53,1;1;1;0;201920#
Ivan Perisic;CRO;FW,MF;Bayern Munich;30;1989;$ 15.000.000,00;187;Forward - Left Winger;both;Bundesliga;22;11;1206;4;3;0;0;0,3;0,22;0,52;0,3;0,52;41;12;0;29,3;3,06;0,9;0,1;0,33;632;70,9;7524;2025;16;3;0;13;11;782;12;22;54,5;1;1;0;201920#
Chris Richards;USA;DF;Bayern Munich;19;2000;$ 1.000.000,00;188;Defender - Centre-Back;both;Bundesliga;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;100;80;22;0;0;0;0;0;5;0;0;0;1;1;0;201920#
Renato Sanches;POR;MF;Bayern Munich;21;1997;$ 16.000.000,00;176;Midfielder - Central Midfield;right;Bundesliga;1;0;6;0;0;0;0;0;0;0;0;0;31;11;4;35,5;1,88;0,67;0,1;0,27;1007;81;15152;4232;25;2;0;23;13;10;0;0;0;1;1;0;201920#
Sarpreet Singh;NZL;FW,MF;Bayern Munich;20;1999;$ 90.000,00;175;Midfielder - Attacking Midfield;left;Bundesliga;2;1;72;0;0;0;0;0;0;0;0;0;1;0;0;0;1,25;0;0;0;29;75,9;411;78;0;0;0;0;0;33;0;0;0;1;1;0;201920#
Niklas Sule;GER;DF;Bayern Munich;23;1995;$ 48.000.000,00;195;Defender - Centre-Back;right;Bundesliga;8;8;641;0;1;0;0;0;0,14;0,14;0;0,14;6;1;0;16,7;0,84;0,14;0;0;612;93,1;13277;4119;13;8;0;5;5;680;2;2;100;1;1;0;201920#
Corentin Tolisso;FRA;MF;Bayern Munich;24;1994;$ 25.000.000,00;181;Midfielder - Central Midfield;right;Bundesliga;13;7;638;1;2;0;0;0,14;0,28;0,42;0,14;0,42;16;3;0;18,8;2,26;0,42;0,06;0,33;579;87,4;10175;2584;9;3;0;6;3;645;7;11;63,6;1;1;0;201920#
Joshua Zirkzee;NED;FW;Bayern Munich;18;2001;$ 6.000.000,00;193;Forward - Centre-Forward;right;Bundesliga;9;3;297;4;0;0;0;1,21;0;1,21;1,21;1,21;11;6;0;54,5;3,33;1,82;0,36;0,67;88;76,1;833;151;6;2;0;4;0;124;1;1;100;1;1;0;201920#
Carles AleÒ·;ESP;MF,FW;Betis;21;1998;$ 18.000.000,00;180;Midfielder - Central Midfield;left;La Liga;17;7;735;1;0;0;0;0,12;0;0,12;0,12;0,12;12;4;0;33,3;1,47;0,49;0,08;0,25;389;85,6;6534;1240;9;2;0;7;1;471;15;23;65,2;15;0;0;201920#
Antonio Barrag·n;ESP;DF;Betis;32;1987;$ 1.000.000,00;186;Defender - Right-Back;right;La Liga;12;7;641;0;1;0;0;0;0,14;0,14;0;0,14;2;0;0;0;0,28;0;0;0;460;82;6658;2342;9;2;0;7;5;518;3;4;75;15;0;0;201920#
Marc Bartra;ESP;DF,MF;Betis;28;1991;$ 17.000.000,00;184;Defender - Centre-Back;right;La Liga;30;29;2524;3;1;0;0;0,11;0,04;0,14;0,11;0,14;21;5;0;23,8;0,75;0,18;0,14;0,6;1637;86,9;30963;8554;59;27;0;32;25;2001;13;19;68,4;15;0;0;201920#
Sergio Canales;ESP;MF,FW;Betis;28;1991;$ 20.000.000,00;180;Midfielder - Attacking Midfield;left;La Liga;36;36;3163;6;6;3;4;0,17;0,17;0,34;0,09;0,26;47;14;4;29,8;1,34;0,4;0,06;0,21;2221;84;35310;7041;44;3;0;41;8;2529;48;71;67,6;15;0;0;201920#
William Carvalho;POR;MF;Betis;27;1992;$ 16.000.000,00;187;Midfielder - Defensive Midfield;right;La Liga;13;11;892;0;0;0;0;0;0;0;0;0;6;2;0;33,3;0,61;0,2;0;0;634;89;10681;2488;13;5;0;8;2;702;15;17;88,2;15;0;0;201920#
Emerson;BRA;DF;Betis;20;1999;$ 25.000.000,00;183;Defender - Right-Back;right;La Liga;33;32;2839;3;6;0;0;0,1;0,19;0,29;0,1;0,29;23;4;0;17,4;0,73;0,13;0,13;0,75;1604;80,3;21614;7386;57;9;0;48;17;2008;21;41;51,2;15;0;0;201920#
Zouhair Feddal;MAR;DF;Betis;30;1989;$ 4.000.000,00;192;Defender - Centre-Back;left;La Liga;17;16;1431;1;2;0;0;0,06;0,13;0,19;0,06;0,19;9;3;0;33,3;0,57;0,19;0,11;0,33;1062;86,3;21103;6462;19;10;0;9;9;1236;4;5;80;15;0;0;201920#
Nabil Fekir;FRA;MF,FW;Betis;26;1993;$ 32.000.000,00;173;Midfielder - Attacking Midfield;left;La Liga;32;31;2638;7;4;1;1;0,24;0,14;0,38;0,2;0,34;101;40;8;39,6;3,45;1,36;0,06;0,15;1034;81,1;13881;3618;36;5;0;31;12;1524;84;127;66,1;15;0;0;201920#
Javi GarcÌa;ESP;MF;Betis;32;1987;$ 1.000.000,00;187;Midfielder - Defensive Midfield;right;La Liga;8;4;377;0;0;0;0;0;0;0;0;0;4;1;0;25;0,95;0,24;0;0;191;83,2;2983;581;3;0;0;3;1;239;1;2;50;15;0;0;201920#
…dgar Gonz·lez;ESP;MF;Betis;22;1997;$ 1.000.000,00;193;Midfielder - Defensive Midfield;right;La Liga;10;9;681;0;0;0;0;0;0;0;0;0;6;1;0;16,7;0,79;0,13;0;0;347;89,3;6145;1168;11;5;0;6;5;425;4;7;57,1;15;0;0;201920#
AndrÈs Guardado;MEX;MF;Betis;32;1986;$ 3.000.000,00;169;Midfielder - Central Midfield;left;La Liga;28;25;2046;0;3;0;0;0;0,13;0,13;0;0,13;12;4;0;33,3;0,53;0,18;0;0;1041;84,1;17717;3767;31;5;0;26;18;1227;18;23;78,3;15;0;0;201920#
Ismael GutiÈrrez;ESP;MF;Betis;18;2000;$ 90.000,00;0;Midfielder - Central Midfield;;La Liga;3;1;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;88,9;369;31;3;1;0;2;1;42;0;0;0;15;0;0;201920#
Borja Iglesias;ESP;FW;Betis;26;1993;$ 14.000.000,00;187;Forward - Centre-Forward;right;La Liga;35;21;1922;3;2;0;0;0,14;0,09;0,23;0,14;0,23;35;12;0;34,3;1,64;0,56;0,09;0,25;319;74,6;3461;540;15;6;0;9;5;524;17;37;45,9;15;0;0;201920#
JoaquÌn;ESP;MF,FW;Betis;38;1981;$ 1.500.000,00;181;Forward - Right Winger;right;La Liga;34;25;2060;8;3;2;3;0,35;0,13;0,48;0,26;0,39;32;11;5;34,4;1,4;0,48;0,19;0,55;1163;80,4;15558;4559;36;3;0;33;16;1379;58;82;70,7;15;0;0;201920#
Juanmi;ESP;FW,MF;Betis;26;1993;$ 3.000.000,00;172;Forward - Right Winger;right;La Liga;8;2;264;1;0;0;0;0,34;0;0,34;0,34;0,34;7;3;0;42,9;2,39;1,02;0,14;0,33;57;80,7;623;132;2;0;0;2;0;84;1;2;50;15;0;0;201920#
Wilfrid Kaptoum;CMR;MF;Betis;23;1996;$ 2.000.000,00;170;Midfielder - Central Midfield;right;La Liga;5;2;194;0;0;0;0;0;0;0;0;0;3;0;0;0;1,39;0;0;0;71;83,1;958;204;3;1;0;2;3;102;2;2;100;15;0;0;201920#
Diego Lainez;MEX;MF,FW;Betis;19;2000;$ 9.000.000,00;167;Forward - Left Winger;left;La Liga;15;2;348;0;0;0;0;0;0;0;0;0;6;2;0;33,3;1,55;0,52;0;0;119;74,8;1176;308;9;0;0;9;0;182;18;27;66,7;15;0;0;201920#
Aissa Mandi;ALG;DF;Betis;27;1991;$ 16.000.000,00;184;Defender - Centre-Back;right;La Liga;29;29;2576;0;0;0;0;0;0;0;0;0;10;3;0;30;0,35;0,1;0;0;1778;91,5;35309;11742;46;19;0;27;24;2047;6;9;66,7;15;0;0;201920#
?Ålex Moreno;ESP;DF;Betis;26;1993;$ 5.000.000,00;179;Defender - Left-Back;left;La Liga;31;25;2265;0;4;0;0;0;0,16;0,16;0;0,16;25;8;0;32;0,99;0,32;0;0;1285;78,5;16430;5158;47;8;1;39;17;1622;48;82;58,5;15;0;0;201920#
Loren Moran;ESP;FW;Betis;25;1993;$ 16.000.000,00;185;Forward - Centre-Forward;right;La Liga;36;21;2031;10;3;0;0;0,44;0,13;0,58;0,44;0,58;49;18;0;36,7;2,17;0,8;0,2;0,56;309;70,2;3206;890;31;8;0;23;6;576;20;34;58,8;15;0;0;201920#
Alfonso Pedraza;ESP;DF;Betis;23;1996;$ 9.000.000,00;184;Defender - Left-Back;left;La Liga;21;15;1349;1;0;0;0;0,07;0;0,07;0,07;0,07;15;7;0;46,7;1;0,47;0,07;0,14;770;77,3;10210;4070;38;6;0;32;10;971;20;34;58,8;15;0;0;201920#
Guido RodrÌguez;ARG;MF;Betis;25;1994;$ 8.000.000,00;185;Midfielder - Defensive Midfield;right;La Liga;14;11;936;1;0;0;0;0,1;0;0,1;0,1;0,1;12;3;0;25;1,15;0,29;0,08;0,33;515;86;8802;2061;11;4;0;7;6;626;12;15;80;15;0;0;201920#
Sidnei;BRA;DF;Betis;29;1989;$ 5.000.000,00;185;Defender - Centre-Back;right;La Liga;14;14;1175;1;0;0;0;0,08;0;0,08;0,08;0,08;5;2;0;40;0,38;0,15;0,2;0,5;855;91;15845;4146;23;12;0;11;12;993;7;9;77,8;15;0;0;201920#
Cristian Tello;ESP;MF,FW;Betis;27;1991;$ 4.000.000,00;178;Forward - Left Winger;both;La Liga;27;5;787;2;0;0;0;0,23;0;0,23;0,23;0,23;19;6;2;31,6;2,17;0,69;0,11;0,33;377;75,6;5128;1284;7;0;0;7;5;453;12;19;63,2;15;0;0;201920#
Mattia Bani;ITA;DF;Bologna;25;1993;$ 2.000.000,00;188;Defender - Centre-Back;right;Serie A;27;26;2207;4;0;0;0;0,16;0;0,16;0,16;0,16;17;7;0;41,2;0,69;0,29;0,24;0,57;1109;81,9;21183;6913;46;17;0;29;28;1436;2;4;50;12;0;0;201920#
Musa Barrow;GAM;FW;Bologna;20;1998;$ 11.000.000,00;184;Forward - Centre-Forward;right;Serie A;18;14;1354;9;2;1;1;0,6;0,13;0,73;0,53;0,66;66;21;7;31,8;4,39;1,4;0,12;0,38;598;72,1;7549;2130;19;0;0;19;10;841;43;68;63,2;12;0;0;201920#
Federico Bonini;ITA;DF;Bologna;17;2001;$ 25.000,00;185;Defender - Centre-Back;left;Serie A;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;100;99;37;0;0;0;0;0;5;0;0;0;12;0;0;201920#
Gianmarco Cangiano;ITA;FW,MF;Bologna;17;2001;$ 50.000,00;176;Forward - Left Winger;right;Serie A;3;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;75;192;21;0;0;0;0;1;16;3;4;75;12;0;0;201920#
Gabriele Corbo;ITA;DF;Bologna;19;2000;$ 72.500,00;186;Defender - Centre-Back;right;Serie A;2;1;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;89,8;1177;475;2;2;1;0;1;74;0;0;0;12;0;0;201920#
Stefano Denswil;NED;DF;Bologna;26;1993;$ 4.000.000,00;188;Defender - Centre-Back;left;Serie A;26;25;2240;0;1;0;0;0;0,04;0,04;0;0,04;10;1;0;10;0,4;0,04;0;0;1266;86,3;22656;8162;50;10;0;40;20;1519;7;11;63,6;12;0;0;201920#
Mattia Destro;ITA;FW;Bologna;28;1991;$ 2.000.000,00;182;Forward - Centre-Forward;right;Serie A;5;2;185;0;0;0;0;0;0;0;0;0;4;2;0;50;1,95;0,97;0;0;20;70;247;102;1;0;0;1;2;39;1;1;100;12;0;0;201920#
Mitchell Dijks;NED;DF;Bologna;26;1993;$ 4.000.000,00;194;Defender - Left-Back;left;Serie A;13;12;1006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;545;79,3;7457;3186;21;1;0;20;5;650;9;26;34,6;12;0;0;201920#
Nicol·s DomÌnguez;ARG;MF;Bologna;21;1998;$ 15.000.000,00;179;Midfielder - Central Midfield;right;Serie A;16;7;699;0;1;0;0;0;0,13;0,13;0;0,13;10;1;0;10;1,29;0,13;0;0;413;84,5;6736;1703;14;1;0;13;8;488;6;9;66,7;12;0;0;201920#
Blerim D??emaili;SUI;MF;Bologna;33;1986;$ 700,00;180;Midfielder - Central Midfield;right;Serie A;14;8;698;1;1;0;0;0,13;0,13;0,26;0,13;0,26;16;4;0;25;2,06;0,52;0,06;0,25;347;82,4;5708;1508;15;3;0;12;5;456;7;13;53,8;12;0;0;201920#
Andri Fannar Baldursson;ISL;MF;Bologna;17;2002;$ 800.000,00;187;Midfielder - Central Midfield;right;Serie A;7;0;143;0;0;0;0;0;0;0;0;0;2;0;0;0;1,26;0;0;0;67;73,1;857;194;2;0;0;2;1;85;2;4;50;12;0;0;201920#
Musa Juwara;GAM;FW,MF;Bologna;17;2001;$ 80.000,00;170;Forward - Left Winger;left;Serie A;7;1;153;1;0;0;0;0,59;0;0,59;0,59;0,59;5;4;0;80;2,94;2,35;0,2;0,25;80;63,8;831;296;2;1;0;1;1;105;6;8;75;12;0;0;201920#
Ladislav KrejcÌ;CZE;DF;Bologna;27;1992;$ 1.800.000,00;179;Midfielder - Left Midfield;left;Serie A;14;11;1051;1;0;0;0;0,09;0;0,09;0,09;0,09;3;1;0;33,3;0,26;0,09;0,33;1;647;82,4;9136;3790;24;4;1;20;11;744;8;12;66,7;12;0;0;201920#
Danilo Larangeira;BRA;DF;Bologna;35;1984;$ 600,00;185;Defender - Centre-Back;right;Serie A;30;30;2638;2;0;0;0;0,07;0;0,07;0,07;0,07;8;2;0;25;0,27;0,07;0,25;1;1246;79,1;23719;8829;81;42;2;39;13;1571;7;7;100;12;0;0;201920#
Ibrahima Mbaye;SEN;DF;Bologna;24;1994;$ 2.000.000,00;188;Defender - Right-Back;right;Serie A;20;16;1507;0;3;0;0;0;0,18;0,18;0;0,18;5;1;0;20;0,3;0,06;0;0;834;85;12280;4901;43;12;1;31;3;992;11;15;73,3;12;0;0;201920#
Gary Medel;CHI;MF;Bologna;31;1987;$ 2.000.000,00;171;Midfielder - Defensive Midfield;right;Serie A;23;22;1784;0;0;0;0;0;0;0;0;0;5;1;0;20;0,25;0,05;0;0;1088;90,7;19181;5048;33;9;0;24;17;1256;12;15;80;12;0;0;201920#
Kingsley Michael;NGA;MF;Bologna;19;1999;$ 90.000,00;176;Midfielder - Central Midfield;right;Serie A;1;1;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;87,9;876;176;1;0;0;1;0;63;0;0;0;12;0;0;201920#
Riccardo Orsolini;ITA;FW,MF;Bologna;22;1997;$ 20.000.000,00;183;Forward - Right Winger;left;Serie A;37;32;2681;8;6;0;0;0,27;0,2;0,47;0,27;0,47;90;25;9;27,8;3,02;0,84;0,09;0,32;1108;62;12919;4456;40;2;0;38;8;1570;72;135;53,3;12;0;0;201920#
Rodrigo Palacio;ARG;FW;Bologna;37;1982;$ 40.000,00;176;Forward - Centre-Forward;right;Serie A;35;28;2517;7;3;0;0;0,25;0,11;0,36;0,25;0,36;59;25;2;42,4;2,11;0,89;0,12;0,28;1027;74,1;12374;2336;25;4;0;21;2;1433;40;77;51,9;12;0;0;201920#
NehuÈn Paz;ARG;DF;Bologna;26;1993;$ 32.500,00;191;Defender - Centre-Back;left;Serie A;3;1;119;0;1;0;0;0;0,76;0,76;0;0,76;2;0;0;0;1,51;0;0;0;45;77,8;796;271;6;3;0;3;4;69;0;0;0;12;0;0;201920#
Andrea Poli;ITA;MF;Bologna;29;1989;$ 2.000.000,00;182;Midfielder - Central Midfield;right;Serie A;28;22;1919;2;0;0;0;0,09;0;0,09;0,09;0,09;24;7;0;29,2;1,13;0,33;0,08;0,29;1066;89,5;16435;4272;33;4;0;29;19;1256;20;27;74,1;12;0;0;201920#
Dion Ruffo Luci;ITA;MF;Bologna;18;2001;$ 10.000,00;0;Midfielder - Central Midfield;;Serie A;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;201920#
Nicola Sansone;ITA;FW,MF;Bologna;27;1991;$ 6.000.000,00;173;Forward - Left Winger;right;Serie A;33;26;2269;4;3;3;4;0,16;0,12;0,28;0,04;0,16;76;19;7;25;3,01;0,75;0,01;0,05;986;72,5;12022;4075;28;1;0;27;12;1352;46;89;51,7;12;0;0;201920#
Federico Santander;PAR;FW;Bologna;28;1991;$ 4.000.000,00;187;Forward - Centre-Forward;right;Serie A;24;5;770;1;0;1;1;0,12;0;0,12;0;0;24;5;1;20,8;2,81;0,58;0;0;267;67,8;2776;543;11;2;0;9;3;391;11;14;78,6;12;0;0;201920#
Jerdy Schouten;NED;MF;Bologna;22;1997;$ 3.000.000,00;185;Midfielder - Central Midfield;right;Serie A;19;13;1082;0;0;0;0;0;0;0;0;0;7;2;0;28,6;0,58;0,17;0;0;542;84,3;8805;2148;25;6;0;19;26;680;26;35;74,3;12;0;0;201920#
Andreas Skov Olsen;DEN;FW,MF;Bologna;19;1999;$ 6.000.000,00;187;Forward - Right Winger;left;Serie A;26;7;760;1;0;0;0;0,12;0;0,12;0,12;0,12;20;7;1;35;2,37;0,83;0,05;0,14;378;72,5;4807;1166;14;1;0;13;4;515;16;39;41;12;0;0;201920#
Roberto Soriano;ITA;MF;Bologna;28;1991;$ 6.000.000,00;182;Midfielder - Central Midfield;right;Serie A;29;29;2469;5;5;0;0;0,18;0,18;0,36;0,18;0,36;37;16;0;43,2;1,35;0,58;0,14;0,31;1227;84;16658;5019;31;2;0;29;10;1484;29;41;70,7;12;0;0;201920#
Mattias Svanberg;SWE;MF;Bologna;20;1999;$ 5.000.000,00;185;Midfielder - Central Midfield;right;Serie A;25;12;1051;1;2;0;0;0,09;0,17;0,26;0,09;0,26;37;9;1;24,3;3,17;0,77;0,03;0,11;417;82;6015;1597;22;5;0;17;9;582;13;19;68,4;12;0;0;201920#
Takehiro Tomiyasu;JPN;DF;Bologna;20;1998;$ 13.000.000,00;188;Defender - Centre-Back;right;Serie A;29;29;2528;1;3;0;0;0,04;0,11;0,14;0,04;0,14;17;3;0;17,6;0,61;0,11;0,06;0,33;1644;83,2;24691;10129;65;11;1;54;34;1985;30;47;63,8;12;0;0;201920#
Yacine Adli;FRA;MF,FW;Bordeaux;19;2000;$ 6.000.000,00;186;Midfielder - Attacking Midfield;right;Ligue 1;21;11;1020;3;3;0;0;0,26;0,26;0,53;0,26;0,53;18;6;1;33,3;1,59;0,53;0,17;0,5;581;79,2;8420;1964;11;0;0;11;9;735;24;42;57,1;12;0;0;201920#
Youssef Ait Bennasser;MAR;MF;Bordeaux;23;1996;$ 4.000.000,00;184;Midfielder - Central Midfield;right;Ligue 1;12;6;536;0;1;0;0;0;0,17;0,17;0;0,17;2;0;0;0;0,34;0;0;0;413;86,4;6250;1555;12;2;0;10;5;473;6;12;50;12;0;0;201920#
Toma Basic;CRO;MF;Bordeaux;22;1996;$ 7.000.000,00;189;Midfielder - Central Midfield;right;Ligue 1;15;11;991;1;3;0;0;0,09;0,27;0,36;0,09;0,36;17;4;4;23,5;1,54;0,36;0,06;0,25;580;78,6;9458;2259;16;3;0;13;9;729;18;23;78,3;12;0;0;201920#
Raoul Bellanova;ITA;DF;Bordeaux;19;2000;$ 90.000,00;188;Defender - Right-Back;right;Ligue 1;1;1;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;79,3;393;87;0;0;0;0;0;36;0;0;0;12;0;0;201920#
Loris Benito;SUI;DF;Bordeaux;27;1992;$ 3.000.000,00;184;Defender - Left-Back;left;Ligue 1;23;21;1896;1;0;0;0;0,05;0;0,05;0,05;0,05;11;2;0;18,2;0,52;0,09;0,09;0,5;1315;84;19603;7262;32;7;0;25;16;1518;8;16;50;12;0;0;201920#
Yassine Benrahou;FRA;FW,MF;Bordeaux;20;1999;$ 2.000.000,00;170;Midfielder - Attacking Midfield;right;Ligue 1;6;1;168;0;2;0;0;0;1,07;1,07;0;1,07;3;0;2;0;1,61;0;0;0;106;78,3;1320;389;1;0;0;1;3;139;1;3;33,3;12;0;0;201920#
Jimmy Briand;FRA;FW;Bordeaux;33;1985;$ 1.000.000,00;183;Forward - Centre-Forward;right;Ligue 1;22;18;1525;7;1;1;1;0,41;0,06;0,47;0,35;0,41;27;10;0;37;1,59;0,59;0,22;0,6;343;79,9;3594;453;11;5;0;6;4;503;4;15;26,7;12;0;0;201920#
Vukasin Jovanovic;SRB;DF;Bordeaux;23;1996;$ 2.000.000,00;188;Defender - Centre-Back;right;Ligue 1;9;5;573;0;1;0;0;0;0,16;0,16;0;0,16;0;0;0;0;0;0;0;0;452;89,2;8338;2883;10;4;0;6;8;519;2;2;100;12;0;0;201920#
Samuel Kalu;NGA;FW,DF;Bordeaux;21;1997;$ 6.000.000,00;176;Forward - Right Winger;right;Ligue 1;20;15;1357;1;1;0;0;0,07;0,07;0,13;0,07;0,13;40;11;1;27,5;2,65;0,73;0,03;0,09;524;74;6653;1627;21;1;0;20;19;784;54;88;61,4;12;0;0;201920#
Fran?ßois Kamano;GUI;DF,MF;Bordeaux;23;1996;$ 8.000.000,00;182;Forward - Left Winger;right;Ligue 1;11;7;648;1;0;0;0;0,14;0;0,14;0,14;0,14;5;2;0;40;0,69;0,28;0,2;0,5;310;79,4;3969;783;8;0;0;8;5;396;11;26;42,3;12;0;0;201920#
Laurent Koscielny;FRA;DF;Bordeaux;33;1985;$ 4.000.000,00;185;Defender - Centre-Back;right;Ligue 1;25;25;2183;0;0;0;0;0;0;0;0;0;3;1;0;33,3;0,12;0,04;0;0;1363;89,5;27022;9847;49;20;0;29;16;1605;1;2;50;12;0;0;201920#
Enock Kwateng;FRA;DF;Bordeaux;22;1997;$ 3.000.000,00;181;Defender - Right-Back;right;Ligue 1;14;13;983;0;1;0;0;0;0,09;0,09;0;0,09;4;2;0;50;0,37;0,18;0;0;620;76,8;8161;3287;30;5;0;25;16;756;9;14;64,3;12;0;0;201920#
Albert Lottin;FRA;MF;Bordeaux;17;2001;$ 45.000,00;181;Midfielder - Defensive Midfield;right;Ligue 1;1;1;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;94,4;365;227;0;0;0;0;3;28;2;3;66,7;12;0;0;201920#
Josh Maja;NGA;FW;Bordeaux;20;1998;$ 6.500.000,00;180;Forward - Centre-Forward;right;Ligue 1;21;6;735;6;2;0;0;0,73;0,24;0,98;0,73;0,98;18;12;0;66,7;2,2;1,47;0,33;0,5;206;85;2268;363;11;4;0;7;3;306;16;23;69,6;12;0;0;201920#
Mexer;MOZ;DF;Bordeaux;30;1988;$ 2.000.000,00;188;Defender - Centre-Back;right;Ligue 1;19;16;1488;0;2;0;0;0;0,12;0,12;0;0,12;9;0;0;0;0,54;0;0;0;1091;81,9;18872;6327;25;12;0;13;12;1247;11;18;61,1;12;0;0;201920#
Ot·vio;BRA;MF;Bordeaux;25;1994;$ 7.000.000,00;176;Midfielder - Defensive Midfield;right;Ligue 1;25;25;2211;2;3;0;0;0,08;0,12;0,2;0,08;0,2;22;7;0;31,8;0,9;0,28;0,09;0,29;1499;90,5;25582;4946;46;7;0;39;25;1747;16;19;84,2;12;0;0;201920#
Remi Oudin;FRA;FW;Bordeaux;22;1996;$ 7.000.000,00;185;Forward - Right Winger;left;Ligue 1;8;5;562;1;1;0;0;0,16;0,16;0,32;0,16;0,32;12;3;0;25;1,92;0,48;0,08;0,33;277;66,4;2986;704;18;1;0;17;1;353;10;11;90,9;12;0;0;201920#
Pablo;BRA;DF;Bordeaux;28;1991;$ 8.000.000,00;188;Defender - Centre-Back;right;Ligue 1;25;25;2173;4;0;0;0;0,17;0;0,17;0,17;0,17;17;7;0;41,2;0,7;0,29;0,24;0,57;1488;87,8;28112;8601;41;17;0;24;30;1786;5;7;71,4;12;0;0;201920#
RubÈn Pardo;ESP;MF;Bordeaux;26;1992;$ 2.000.000,00;181;Midfielder - Central Midfield;right;Ligue 1;6;1;188;1;0;0;0;0,48;0;0,48;0,48;0,48;2;2;0;100;0,96;0,96;0,5;0,5;112;83,9;1832;469;1;0;0;1;1;131;0;1;0;12;0;0;201920#
