player;nationality;position;squad;age;birth_year;value;height;position2;foot;league;games;games_starts;minutes;goals;assists;pens_made;pens_att;goals_per90;assists_per90;goals_assists_per90;goals_pens_per90;goals_assists_pens_per90;shots_total;shots_on_target;shots_free_kicks;shots_on_target_pct;shots_total_per90;shots_on_target_per90;goals_per_shot;goals_per_shot_on_target;passes;passes_pct;passes_total_distance;passes_progressive_distance;blocks;blocked_shots;blocked_shots_saves;blocked_passes;interceptions;touches;dribbles_completed;dribbles;dribbles_completed_pct;LigaRk;CL;WinCL;Season
HÈctor BellerÌn;ESP;DF;Arsenal;24;1995;$ 32.000.000,00;178;Defender - Right-Back;right;Premier League;15;13;1158;1;0;0;0;0,08;0;0,08;0,08;0,08;7;2;0;28,6;0,54;0,16;0,14;0,5;686;81,3;9186;2754;28;4;0;24;10;837;16;35;45,7;8;0;0;201920#
Dani Ceballos;ESP;MF;Arsenal;22;1996;$ 32.000.000,00;179;Midfielder - Central Midfield;right;Premier League;24;18;1692;0;2;0;0;0;0,11;0,11;0;0,11;13;3;0;23,1;0,69;0,16;0;0;1301;84,2;22107;5542;29;4;0;25;20;1492;29;41;70,7;8;0;0;201920#
Calum Chambers;ENG;DF;Arsenal;24;1995;$ 14.000.000,00;182;Defender - Centre-Back;right;Premier League;14;13;1102;1;1;0;0;0,08;0,08;0,16;0,08;0,16;12;2;0;16,7;0,98;0,16;0,08;0,5;865;81,2;14269;4326;21;7;0;14;13;1028;13;18;72,2;8;0;0;201920#
MattÈo Guendouzi;FRA;MF;Arsenal;20;1999;$ 40.000.000,00;185;Midfielder - Central Midfield;right;Premier League;24;19;1748;0;1;0;0;0;0,05;0,05;0;0,05;11;5;0;45,5;0,57;0,26;0;0;1144;89;20105;5471;40;7;0;33;22;1357;29;42;69;8;0;0;201920#
Rob Holding;ENG;DF;Arsenal;23;1995;$ 9.000.000,00;189;Defender - Centre-Back;right;Premier League;8;6;581;0;0;0;0;0;0;0;0;0;1;0;0;0;0,15;0;0;0;338;86,4;6532;1724;19;6;0;13;3;421;2;6;33,3;8;0;0;201920#
Sead Kolasinac;BIH;DF;Arsenal;26;1993;$ 10.000.000,00;183;Defender - Left-Back;left;Premier League;26;19;1701;0;2;0;0;0;0,11;0,11;0;0,11;4;0;0;0;0,21;0;0;0;1031;84,3;14326;4428;23;5;0;18;15;1182;14;18;77,8;8;0;0;201920#
Alexandre Lacazette;FRA;FW;Arsenal;28;1991;$ 48.000.000,00;176;Forward - Centre-Forward;right;Premier League;30;22;1874;10;4;0;0;0,48;0,19;0,67;0,48;0,67;53;26;3;49,1;2,55;1,25;0,19;0,38;499;77,6;5867;1064;13;0;0;13;10;786;25;46;54,3;8;0;0;201920#
David Luiz;BRA;DF;Arsenal;32;1987;$ 6.000.000,00;189;Defender - Centre-Back;right;Premier League;33;32;2809;2;1;0;0;0,06;0,03;0,1;0,06;0,1;23;7;7;30,4;0,74;0,22;0,09;0,29;1713;86,5;36779;10647;63;40;0;23;19;2050;4;9;44,4;8;0;0;201920#
Ainsley Maitland-Niles;ENG;DF;Arsenal;21;1997;$ 14.000.000,00;180;Midfielder - Right Midfield;right;Premier League;20;15;1386;0;2;0;0;0;0,13;0,13;0;0,13;4;1;0;25;0,26;0,06;0;0;999;82,6;14121;4762;29;5;0;24;17;1179;22;44;50;8;0;0;201920#
Pablo MarÌ;ESP;DF;Arsenal;25;1993;$ 4.000.000,00;193;Defender - Centre-Back;left;Premier League;2;2;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;89;1746;362;1;0;0;1;2;111;0;0;0;8;0;0;201920#
Martinelli;BRA;FW;Arsenal;18;2001;$ 25.000.000,00;180;Forward - Left Winger;right;Premier League;14;6;663;3;0;0;0;0,41;0;0,41;0,41;0,41;12;5;0;41,7;1,63;0,68;0,25;0,6;138;62,3;1243;373;20;1;0;19;2;275;11;29;37,9;8;0;0;201920#
Henrikh Mkhitaryan;ARM;FW;Arsenal;30;1989;$ 20.000.000,00;177;Midfielder - Attacking Midfield;both;Premier League;3;1;112;0;0;0;0;0;0;0;0;0;2;0;0;0;1,61;0;0;0;77;75,3;938;221;2;0;0;2;1;98;2;5;40;8;0;0;201920#
Nacho Monreal;ESP;DF;Arsenal;33;1986;$ 3.000.000,00;180;Defender - Left-Back;left;Premier League;3;3;270;0;0;0;0;0;0;0;0;0;1;0;0;0;0,33;0;0;0;201;90,5;2684;1130;3;1;0;2;4;231;1;3;33,3;8;0;0;201920#
Shkodran Mustafi;GER;DF;Arsenal;27;1992;$ 12.000.000,00;184;Defender - Centre-Back;right;Premier League;15;13;1207;0;1;0;0;0;0,07;0,07;0;0,07;11;3;0;27,3;0,82;0,22;0;0;790;83,9;15630;4622;15;7;0;8;8;954;2;2;100;8;0;0;201920#
Reiss Nelson;ENG;FW;Arsenal;19;1999;$ 12.000.000,00;175;Forward - Right Winger;right;Premier League;17;7;631;1;0;0;0;0,14;0;0,14;0,14;0,14;11;4;0;36,4;1,57;0,57;0,09;0,25;234;79,5;2932;811;13;1;0;12;4;328;16;29;55,2;8;0;0;201920#
Eddie Nketiah;ENG;FW;Arsenal;20;1999;$ 11.000.000,00;180;Forward - Centre-Forward;right;Premier League;13;7;633;2;0;0;0;0,28;0;0,28;0,28;0,28;15;5;0;33,3;2,13;0,71;0,13;0,4;140;79,3;1668;248;5;0;0;5;5;234;10;16;62,5;8;0;0;201920#
Mesut ?ñzil;GER;MF;Arsenal;30;1988;$ 17.000.000,00;180;Midfielder - Attacking Midfield;left;Premier League;18;18;1438;1;2;0;0;0,06;0,13;0,19;0,06;0,19;9;3;0;33,3;0,56;0,19;0,11;0,33;891;84,6;12500;3374;9;0;0;9;3;1016;21;31;67,7;8;0;0;201920#
Sokratis Papastathopoulos;GRE;DF;Arsenal;31;1988;$ 6.000.000,00;186;Defender - Centre-Back;right;Premier League;19;19;1696;2;0;0;0;0,11;0;0,11;0,11;0,11;7;2;0;28,6;0,37;0,11;0,29;1;973;89,7;19134;5508;41;22;0;19;3;1166;5;6;83,3;8;0;0;201920#
Nicolas PÈpÈ;CIV;FW;Arsenal;24;1995;$ 52.000.000,00;183;Forward - Right Winger;left;Premier League;31;22;2010;5;6;1;1;0,22;0,27;0,49;0,18;0,45;49;16;7;32,7;2,19;0,72;0,08;0,25;803;76,7;9870;2374;20;2;0;18;10;1126;72;132;54,5;8;0;0;201920#
Bukayo Saka;ENG;DF,FW;Arsenal;17;2001;$ 20.000.000,00;178;Midfielder - Left Midfield;left;Premier League;26;19;1753;1;5;0;0;0,05;0,26;0,31;0,05;0,31;13;4;0;30,8;0,67;0,21;0,08;0,25;844;78,1;10760;3132;25;4;0;21;9;1069;31;48;64,6;8;0;0;201920#
CÈdric Soares;POR;DF;Arsenal;27;1991;$ 8.000.000,00;171;Defender - Right-Back;right;Premier League;5;3;249;1;0;0;0;0,36;0;0,36;0,36;0,36;1;1;0;100;0,36;0,36;1;1;133;70,7;1744;520;10;0;0;10;3;161;2;2;100;8;0;0;201920#
Kieran Tierney;SCO;DF;Arsenal;22;1997;$ 20.000.000,00;180;Defender - Left-Back;left;Premier League;15;12;989;1;1;0;0;0,09;0,09;0,18;0,09;0,18;6;2;0;33,3;0,55;0,18;0,17;0,5;544;76,1;8028;2568;22;4;0;18;10;664;12;16;75;8;0;0;201920#
Lucas Torreira;URU;MF;Arsenal;23;1996;$ 36.000.000,00;166;Midfielder - Central Midfield;right;Premier League;29;17;1512;1;1;0;0;0,06;0,06;0,12;0,06;0,12;21;6;0;28,6;1,25;0,36;0,05;0,17;906;87,5;15698;3306;29;9;0;20;24;1091;13;16;81,3;8;0;0;201920#
Joe Willock;ENG;MF,FW;Arsenal;19;1999;$ 16.000.000,00;186;Midfielder - Central Midfield;right;Premier League;29;8;857;1;1;0;0;0,11;0,11;0,21;0,11;0,21;14;4;0;28,6;1,47;0,42;0,07;0,25;368;81,3;5215;1448;19;5;1;14;6;515;22;33;66,7;8;0;0;201920#
Granit Xhaka;SUI;MF;Arsenal;26;1992;$ 24.000.000,00;186;Midfielder - Defensive Midfield;left;Premier League;31;30;2586;1;2;0;0;0,03;0,07;0,1;0,03;0,1;11;3;0;27,3;0,38;0,1;0,09;0,33;1886;87,8;34310;8538;55;17;1;38;11;2145;27;32;84,4;8;0;0;201920#
Borja Bastan;ESP;MF,FW;Aston Villa;26;1992;$ 3.000.000,00;186;Forward - Centre-Forward;right;Premier League;2;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;80;81;28;1;0;0;1;0;7;0;0;0;17;0;0;201920#
Keinan Davis;ENG;FW;Aston Villa;21;1998;$ 2.000.000,00;189;Forward - Centre-Forward;right;Premier League;18;4;548;0;0;0;0;0;0;0;0;0;16;5;0;31,3;2,63;0,82;0;0;142;75,4;1475;201;5;1;0;4;0;225;9;15;60;17;0;0;201920#
Danny Drinkwater;ENG;MF;Aston Villa;29;1990;$ 4.000.000,00;177;Midfielder - Central Midfield;right;Premier League;4;4;259;0;0;0;0;0;0;0;0;0;2;0;0;0;0,69;0;0;0;167;81,4;2638;565;3;0;0;3;7;199;2;3;66,7;17;0;0;201920#
Ahmed Elmohamady;EGY;DF;Aston Villa;31;1987;$ 2.000.000,00;182;Defender - Right-Back;right;Premier League;18;11;1031;1;1;0;0;0,09;0,09;0,17;0,09;0,17;5;1;0;20;0,44;0,09;0,2;1;633;76,5;9333;3713;11;5;0;6;6;718;6;9;66,7;17;0;0;201920#
Bjorn Engels;BEL;DF;Aston Villa;24;1994;$ 9.000.000,00;194;Defender - Centre-Back;right;Premier League;17;15;1447;1;0;0;0;0,06;0;0,06;0,06;0,06;7;1;0;14,3;0,44;0,06;0,14;1;605;83,1;11927;3879;26;19;0;7;12;776;2;2;100;17;0;0;201920#
Anwar El Ghazi;NED;FW,MF;Aston Villa;24;1995;$ 8.000.000,00;189;Forward - Right Winger;right;Premier League;34;26;2051;4;4;1;1;0,18;0,18;0,35;0,13;0,31;50;19;5;38;2,19;0,83;0,06;0,16;615;65,4;6817;1953;18;1;0;17;11;843;35;56;62,5;17;0;0;201920#
Jack Grealish;ENG;FW,MF;Aston Villa;23;1995;$ 30.000.000,00;180;Midfielder - Attacking Midfield;right;Premier League;36;36;3233;8;6;0;1;0,22;0,17;0,39;0,22;0,39;72;22;1;30,6;2;0,61;0,11;0,36;1538;79,1;23156;6423;55;12;0;43;15;2029;71;120;59,2;17;0;0;201920#
Frederic Guilbert;FRA;DF;Aston Villa;24;1994;$ 7.000.000,00;178;Defender - Right-Back;right;Premier League;25;22;2041;0;2;0;0;0;0,09;0,09;0;0,09;8;3;0;37,5;0,35;0,13;0;0;1026;67;13282;5552;65;13;0;52;30;1359;24;41;58,5;17;0;0;201920#
Kortney Hause;ENG;DF;Aston Villa;24;1995;$ 6.000.000,00;191;Defender - Centre-Back;left;Premier League;18;17;1545;1;0;0;0;0,06;0;0,06;0,06;0,06;20;3;0;15;1,17;0,17;0,05;0,33;789;74,9;12375;4892;46;22;1;24;11;1024;11;14;78,6;17;0;0;201920#
Conor Hourihane;IRL;MF;Aston Villa;28;1991;$ 6.000.000,00;181;Midfielder - Central Midfield;left;Premier League;27;18;1534;3;5;0;0;0,18;0,29;0,47;0,18;0,47;29;10;4;34,5;1,7;0,59;0,1;0,3;721;75,2;10353;3235;27;6;0;21;3;855;6;9;66,7;17;0;0;201920#
Jota;ESP;FW,MF;Aston Villa;28;1991;$ 2.500.000,00;178;Forward - Right Winger;left;Premier League;10;4;335;0;1;0;0;0;0,27;0,27;0;0,27;6;1;0;16,7;1,61;0,27;0;0;98;74,5;1408;625;3;0;0;3;2;145;8;17;47,1;17;0;0;201920#
Jonathan Kodjia;CIV;FW,MF;Aston Villa;29;1989;$ 3.000.000,00;189;Forward - Centre-Forward;right;Premier League;6;0;117;0;0;0;0;0;0;0;0;0;2;0;0;0;1,54;0;0;0;30;63,3;309;8;2;2;0;0;0;49;2;2;100;17;0;0;201920#
Ezri Konsa;ENG;DF;Aston Villa;21;1997;$ 6.000.000,00;183;Defender - Centre-Back;right;Premier League;25;24;2039;1;2;0;0;0,04;0,09;0,13;0,04;0,13;11;4;0;36,4;0,49;0,18;0,09;0,25;853;79;13926;4931;55;23;0;32;14;1067;7;11;63,6;17;0;0;201920#
Henri Lansbury;ENG;MF;Aston Villa;28;1990;$ 1.000.000,00;183;Midfielder - Central Midfield;right;Premier League;10;2;195;0;0;0;0;0;0;0;0;0;2;0;0;0;0,92;0;0;0;81;74,1;1315;254;6;0;0;6;0;105;1;1;100;17;0;0;201920#
Douglas Luiz;BRA;MF;Aston Villa;21;1998;$ 27.000.000,00;175;Central Midfield;right;Premier League;36;28;2612;3;2;0;0;0,1;0,07;0,17;0,1;0,17;39;12;3;30,8;1,34;0,41;0,08;0,25;1216;80,9;20870;4818;64;18;1;46;21;1521;30;41;73,2;17;0;0;201920#
John McGinn;SCO;MF;Aston Villa;24;1994;$ 16.000.000,00;178;Midfielder - Central Midfield;left;Premier League;28;27;2312;3;3;0;0;0,12;0,12;0,23;0,12;0,23;55;19;0;34,5;2,14;0,74;0,05;0,16;772;75,6;13625;3883;32;2;0;30;20;1105;53;69;76,8;17;0;0;201920#
Tyrone Mings;ENG;DF;Aston Villa;26;1993;$ 22.000.000,00;195;Defender - Centre-Back;left;Premier League;33;33;2902;2;2;0;0;0,06;0,06;0,12;0,06;0,12;9;4;0;44,4;0,28;0,12;0,22;0,5;1333;79,1;26161;8291;72;55;2;17;20;1694;11;14;78,6;17;0;0;201920#
